Wyksztalcenie,Dochod,LDniOdOstWizyty,WydatkiWino,WydatkiOwoce,WydatkiMieso,WydatkiRyby,WydatkiSlodycze,IloscZakupowInternet,IloscZakupowKatalog,IloscZakupowWSklepie,LOdwiedzinStrony,OdKiedyKlient,Wiek,Spent,MieszkaZ,LDzieci,LOsobGospDom,CzyRodzic
Postgraduate,81698.0,4,179,28,520,111,123,3,8,13,1,11.288158795345652,76,1008,Partner,0,2,0
Graduate,43462.0,50,90,17,97,15,6,4,1,5,8,12.438056125941136,73,240,Partner,2,4,1
Postgraduate,54880.0,57,308,85,137,102,45,6,2,11,5,11.97262149212868,47,795,Alone,1,2,1
Graduate,79908.0,30,557,129,761,29,185,5,6,7,2,11.876796714579056,43,1772,Partner,0,2,0
Undergraduate,15315.0,27,7,4,13,15,8,2,0,4,5,11.548254620123204,55,64,Partner,0,2,0
Graduate,87771.0,61,1492,38,287,50,57,5,10,4,6,11.748117727583846,66,1957,Partner,1,3,1
Graduate,33039.0,4,30,8,12,8,8,2,0,4,5,11.446954140999315,47,78,Partner,1,3,1
Graduate,81741.0,75,249,153,940,58,134,6,6,7,2,11.679671457905544,45,1572,Alone,0,1,0
Postgraduate,71499.0,12,465,25,132,136,0,8,3,13,4,11.655030800821356,54,795,Partner,1,3,1
Undergraduate,62466.0,13,129,129,259,168,121,6,3,12,4,11.096509240246409,55,889,Partner,1,3,1
Postgraduate,48799.0,9,174,18,81,28,6,3,2,7,3,11.290896646132786,62,331,Alone,1,2,1
Postgraduate,52157.0,48,189,2,29,3,2,3,2,5,4,10.704996577686517,75,265,Partner,1,3,1
Graduate,66565.0,80,747,10,161,65,40,4,2,9,8,12.20807665982204,63,1065,Alone,1,2,1
Postgraduate,29298.0,60,6,0,2,2,0,1,0,2,5,11.45242984257358,74,11,Partner,2,4,1
Graduate,47691.0,43,14,0,3,0,0,1,0,2,6,11.627652292950032,46,21,Alone,1,2,1
Graduate,38200.0,19,12,0,4,0,0,1,0,2,7,12.202600958247777,55,17,Partner,2,4,1
Graduate,44989.0,26,98,0,106,49,10,5,1,5,6,12.438056125941136,51,369,Partner,1,3,1
Postgraduate,38443.0,58,32,0,5,0,0,1,0,3,7,11.063655030800822,57,38,Partner,2,4,1
Undergraduate,38593.0,42,51,12,49,17,24,4,1,3,8,11.436002737850789,47,177,Alone,1,2,1
Postgraduate,64413.0,27,200,5,44,0,10,5,1,5,5,11.553730321697468,55,279,Partner,1,3,1
Postgraduate,36959.0,56,25,6,25,6,0,2,0,3,8,11.383983572895277,44,62,Partner,1,3,1
Postgraduate,61996.0,27,1050,12,144,0,0,6,4,8,5,12.05201916495551,48,1230,Partner,1,3,1
Graduate,51287.0,10,117,0,22,13,0,4,1,3,7,10.888432580424366,57,182,Partner,2,4,1
Graduate,13260.0,48,9,4,17,10,2,3,0,3,8,11.49349760438056,55,49,Partner,2,4,1
Postgraduate,47472.0,39,56,0,11,0,0,2,0,4,5,11.427789185489392,59,75,Partner,2,4,1
Postgraduate,54603.0,85,145,13,46,17,2,4,2,4,7,11.616700889801503,69,227,Partner,2,4,1
Postgraduate,45207.0,64,203,0,10,0,0,3,1,6,6,12.276522929500342,51,215,Partner,2,4,1
Graduate,40689.0,69,270,3,27,39,6,7,1,5,8,11.926078028747432,74,444,Partner,1,3,1
Undergraduate,47821.0,54,9,0,16,6,6,1,0,3,8,11.3347022587269,58,47,Partner,2,4,1
Postgraduate,27450.0,57,37,12,23,8,11,2,1,3,7,11.849418206707734,74,143,Partner,0,2,0
Graduate,39453.0,64,46,0,7,0,0,2,0,3,6,10.882956878850102,42,55,Partner,1,3,1
Undergraduate,26850.0,10,31,1,13,7,2,2,1,4,4,10.841889117043122,54,63,Partner,2,4,1
Graduate,79800.0,65,1060,21,530,32,0,5,11,5,3,12.407939767282684,70,1867,Alone,0,1,0
Postgraduate,61794.0,74,264,47,188,54,47,4,4,10,2,11.433264887063656,64,611,Partner,1,3,1
Graduate,53863.0,4,399,4,30,6,4,7,1,7,7,10.76249144421629,70,473,Partner,1,3,1
Graduate,24221.0,94,8,9,9,2,5,1,1,3,4,11.501711156741958,66,55,Partner,0,2,0
Postgraduate,39684.0,41,19,0,35,6,4,2,1,2,7,12.355920602327172,41,81,Alone,1,2,1
Postgraduate,92163.0,25,817,183,797,106,163,5,11,5,2,12.188911704312115,50,2086,Partner,0,2,0
Postgraduate,69882.0,94,292,127,635,132,127,3,7,9,1,11.277207392197123,60,1478,Alone,0,1,0
Graduate,33178.0,9,12,6,2,11,2,1,0,3,4,11.055441478439423,48,49,Partner,1,3,1
Postgraduate,59973.0,47,130,30,168,20,34,3,4,7,1,11.441478439425053,53,382,Partner,0,2,0
Postgraduate,17459.0,12,6,4,16,3,10,3,1,2,7,11.419575633127996,50,69,Partner,1,3,1
Graduate,23910.0,80,16,12,18,7,1,2,0,3,7,12.317590691307323,56,67,Alone,1,2,1
Postgraduate,42169.0,20,19,0,9,0,0,1,0,3,8,11.33744010951403,56,30,Partner,2,4,1
Undergraduate,26224.0,39,4,7,15,13,9,2,1,3,6,11.71252566735113,47,63,Partner,1,3,1
Graduate,31089.0,57,31,3,31,2,8,3,0,4,8,12.509240246406572,44,79,Partner,1,3,1
Graduate,30081.0,27,36,0,2,0,0,1,0,3,7,11.994524298425736,64,42,Alone,1,2,1
Graduate,62807.0,83,526,28,135,10,21,5,3,12,5,12.47091033538672,65,819,Partner,1,3,1
Graduate,72906.0,79,400,32,519,71,75,3,4,9,1,11.42505133470226,70,1151,Alone,0,1,0
Postgraduate,61467.0,69,410,16,114,0,5,5,2,10,5,12.19712525667351,77,594,Partner,2,4,1
Postgraduate,49618.0,77,80,3,26,4,2,3,1,3,7,12.06570841889117,59,129,Partner,2,4,1
Postgraduate,21888.0,15,88,10,46,2,3,5,1,2,10,12.14236824093087,39,213,Alone,1,2,1
Graduate,42429.0,99,55,0,6,2,0,1,1,3,5,11.02258726899384,52,67,Alone,1,2,1
Graduate,26150.0,61,5,1,13,3,5,1,0,3,7,11.94524298425736,69,28,Alone,3,4,1
Undergraduate,30801.0,23,8,4,5,15,2,1,0,3,7,12.317590691307323,50,45,Partner,1,3,1
Graduate,81168.0,84,410,0,592,147,22,6,4,7,3,10.789869952087612,60,1193,Partner,0,2,0
Postgraduate,26877.0,74,101,13,76,20,18,3,1,6,6,11.50444900752909,56,268,Alone,0,1,0
Postgraduate,45006.0,90,162,25,53,16,0,3,1,7,3,11.592060232717316,81,266,Alone,0,1,0
Undergraduate,18978.0,41,2,8,1,4,7,1,0,3,8,12.191649555099248,52,37,Partner,1,3,1
Graduate,22574.0,28,25,0,8,2,0,2,0,3,7,11.312799452429845,58,37,Partner,3,5,1
Postgraduate,48240.0,73,389,91,248,64,49,6,3,13,5,12.279260780287474,56,882,Alone,0,1,0
Graduate,45837.0,88,215,13,87,17,17,6,2,5,7,11.57015742642026,51,373,Partner,2,4,1
Postgraduate,35791.0,94,27,0,5,0,0,1,0,3,8,11.79192334017796,60,35,Alone,3,4,1
Postgraduate,162397.0,31,85,1,16,2,1,0,0,1,1,11.71526351813826,49,107,Partner,2,4,1
Graduate,54162.0,31,5,6,10,6,5,1,0,3,4,11.926078028747432,47,42,Alone,2,3,1
Postgraduate,30522.0,6,179,8,83,19,11,1,2,9,2,12.509240246406572,65,326,Partner,1,3,1
Postgraduate,54456.0,23,352,0,27,10,0,6,1,7,6,11.61122518822724,64,404,Partner,1,3,1
Graduate,31632.0,92,17,8,12,11,15,2,1,2,7,11.603011635865846,54,95,Alone,0,1,0
Graduate,72298.0,52,625,35,169,58,17,4,3,6,1,10.948665297741274,76,939,Alone,0,1,0
Undergraduate,36975.0,50,10,6,11,0,4,1,0,3,7,11.145790554414784,47,33,Alone,1,2,1
Undergraduate,72635.0,54,390,22,323,104,35,6,8,6,3,11.71526351813826,70,981,Partner,0,2,0
Graduate,13624.0,93,10,2,15,2,1,2,0,3,6,12.082135523613964,49,36,Partner,1,3,1
Graduate,84196.0,56,215,63,507,231,31,8,4,7,3,11.71526351813826,50,1237,Alone,1,2,1
Graduate,70971.0,28,1001,17,572,93,125,11,11,5,7,12.413415468856948,65,1825,Partner,1,3,1
Postgraduate,34487.0,94,19,18,33,24,1,3,0,3,9,12.454483230663929,48,103,Alone,2,3,1
Graduate,28769.0,76,41,5,129,10,3,4,1,4,9,12.172484599589325,48,191,Alone,1,2,1
Postgraduate,69084.0,43,1181,107,199,39,30,7,3,13,8,11.252566735112936,55,1586,Partner,1,3,1
Postgraduate,65488.0,46,603,45,207,36,18,3,4,6,1,10.688569472963724,67,963,Partner,0,2,0
Undergraduate,62466.0,13,129,129,259,168,121,6,3,12,4,11.096509240246409,55,889,Partner,1,3,1
Undergraduate,32218.0,27,10,24,15,13,1,2,1,3,7,11.011635865845312,65,93,Alone,0,1,0
Graduate,83917.0,12,514,22,732,42,198,6,7,7,3,11.841204654346338,52,1587,Alone,0,1,0
Graduate,46102.0,3,14,0,1,0,0,1,0,2,7,10.948665297741274,63,16,Alone,3,4,1
Graduate,84574.0,72,387,20,713,38,54,9,11,11,5,11.71252566735113,73,1375,Alone,0,1,0
Graduate,56181.0,6,121,103,69,8,44,4,2,7,4,12.114989733059549,63,393,Partner,1,3,1
Postgraduate,63120.0,53,965,69,279,54,41,8,4,9,7,12.394250513347025,75,1477,Alone,1,2,1
Graduate,73691.0,58,707,21,250,85,43,6,2,8,2,11.288158795345652,54,1179,Partner,1,3,1
Graduate,63381.0,78,571,50,142,33,50,4,5,13,2,12.375085557837098,65,1005,Partner,1,3,1
Postgraduate,76140.0,57,586,66,653,17,0,5,9,6,2,10.77344284736482,77,1348,Partner,0,2,0
Postgraduate,62859.0,37,1063,89,102,16,12,9,4,6,6,12.139630390143736,66,1307,Alone,1,2,1
Graduate,45906.0,20,305,3,27,4,3,5,4,4,5,11.789185489390828,61,486,Alone,1,2,1
Postgraduate,77632.0,73,1200,105,758,0,42,4,2,6,2,11.94798083504449,78,2252,Partner,0,2,0
Postgraduate,46463.0,56,163,2,40,8,11,3,1,6,6,11.507186858316222,54,235,Partner,2,4,1
Graduate,105471.0,36,1009,181,104,202,21,9,8,13,3,12.07939767282683,55,1724,Partner,0,2,0
Postgraduate,55282.0,9,125,6,73,8,4,3,1,6,4,11.186858316221766,55,235,Alone,1,2,1
Postgraduate,78710.0,42,721,0,152,119,50,7,6,12,4,10.746064339493495,48,1092,Partner,1,3,1
Graduate,66886.0,28,315,4,62,41,31,7,1,7,5,11.427789185489392,67,599,Partner,1,3,1
Postgraduate,98777.0,23,1000,19,711,125,115,4,6,9,1,11.006160164271048,65,2008,Alone,0,1,0
Graduate,29103.0,38,16,0,17,6,3,1,0,3,9,12.48186173853525,40,48,Partner,1,3,1
Graduate,67445.0,63,757,80,217,29,80,9,6,12,6,12.522929500342231,51,1174,Partner,1,3,1
Postgraduate,50616.0,71,30,2,25,0,1,1,1,4,2,10.85557837097878,75,67,Partner,1,3,1
Graduate,49431.0,9,219,3,100,26,0,7,1,5,8,12.54757015742642,70,365,Alone,1,2,1
Graduate,153924.0,81,1,1,1,1,1,0,0,0,0,11.033538672142368,50,6,Alone,0,1,0
Graduate,61278.0,87,111,3,28,2,6,3,1,4,6,11.12662559890486,72,165,Partner,1,3,1
Undergraduate,26490.0,92,45,47,52,21,20,3,1,5,6,12.410677618069816,67,210,Partner,0,2,0
Postgraduate,73059.0,36,410,112,420,0,82,9,3,13,4,11.471594798083505,78,1095,Partner,1,3,1
Postgraduate,46734.0,86,100,1,39,6,1,3,2,3,6,11.331964407939768,59,223,Alone,3,4,1
Graduate,56253.0,83,509,0,65,7,11,7,2,9,6,12.202600958247777,62,597,Partner,1,3,1
Graduate,19986.0,74,3,6,5,0,2,0,0,3,7,11.266255989048595,40,22,Partner,1,3,1
Graduate,58330.0,87,445,53,213,104,98,6,4,13,4,11.15400410677618,50,1064,Alone,1,2,1
Undergraduate,25965.0,29,2,2,11,41,7,2,0,3,8,12.451745379876796,45,74,Partner,0,2,0
Postgraduate,14661.0,88,4,1,11,6,2,1,0,3,6,12.134154688569472,69,26,Partner,0,2,0
Graduate,18690.0,77,6,1,7,23,4,1,1,2,8,12.145106091718,66,60,Partner,0,2,0
Postgraduate,45068.0,25,14,0,3,0,0,1,0,2,7,11.76454483230664,51,20,Partner,1,3,1
Undergraduate,21063.0,34,1,10,11,19,3,2,0,3,6,11.403148528405202,38,59,Alone,1,2,1
Postgraduate,29187.0,43,26,0,6,0,0,1,0,3,8,11.783709787816564,57,34,Partner,1,3,1
Undergraduate,54690.0,76,111,16,37,7,9,3,1,5,3,11.285420944558522,54,198,Partner,2,4,1
Postgraduate,59304.0,81,418,61,428,80,51,7,8,10,5,11.561943874058864,61,1048,Partner,1,3,1
Postgraduate,59247.0,87,327,9,122,19,14,5,2,9,6,11.28268309377139,63,574,Alone,2,3,1
Graduate,66731.0,33,371,159,194,58,106,4,3,6,3,12.438056125941136,55,1029,Alone,1,2,1
Graduate,77353.0,38,275,59,107,69,101,6,4,8,4,11.178644763860367,45,670,Partner,1,3,1
Postgraduate,52614.0,63,789,0,142,12,9,2,4,8,8,12.219028062970567,50,990,Alone,1,2,1
Graduate,26751.0,26,1,1,5,0,3,1,0,2,8,10.74880219028063,51,11,Partner,2,4,1
Postgraduate,81300.0,17,1004,12,145,32,12,10,3,5,5,12.306639288158795,62,1241,Partner,1,3,1
Graduate,70337.0,75,187,81,149,25,43,2,2,12,1,11.132101300479125,46,576,Alone,0,1,0
Undergraduate,36145.0,13,56,4,76,17,1,4,1,3,9,11.679671457905544,40,172,Partner,1,3,1
Postgraduate,65295.0,19,365,32,117,34,110,3,3,13,2,11.159479808350444,45,664,Alone,0,1,0
Graduate,68118.0,51,595,23,123,10,23,8,9,4,6,11.340177960301164,62,928,Alone,1,2,1
Graduate,68743.0,81,1132,134,384,175,134,11,5,13,7,12.473648186173854,58,2074,Alone,0,1,0
Undergraduate,41039.0,32,34,11,137,179,61,8,1,5,8,11.572895277207392,43,467,Partner,0,2,0
Graduate,38946.0,84,116,6,82,6,6,3,1,6,5,11.323750855578371,70,257,Partner,1,3,1
Graduate,65777.0,87,565,32,435,28,32,2,8,6,1,11.170431211498974,58,1146,Partner,0,2,0
Postgraduate,66476.0,99,372,18,126,47,48,5,2,11,4,11.956194387405889,49,689,Alone,1,2,1
Postgraduate,86857.0,96,899,102,838,133,102,5,6,10,2,12.438056125941136,53,2114,Alone,0,1,0
Postgraduate,160803.0,21,55,16,1622,17,3,0,28,1,0,12.544832306639288,43,1717,Partner,0,2,0
Postgraduate,77845.0,40,760,40,480,0,40,3,5,12,1,10.765229295003422,36,1346,Partner,0,2,0
Postgraduate,69476.0,3,260,86,559,63,9,4,6,4,2,11.38945927446954,56,1044,Partner,0,2,0
Postgraduate,50611.0,98,459,0,24,6,0,4,5,7,6,12.37782340862423,65,493,Alone,1,2,1
Graduate,61209.0,73,466,0,224,119,49,5,3,4,2,11.488021902806295,55,957,Alone,0,1,0
Postgraduate,42315.0,90,67,15,80,17,11,1,4,4,3,11.60848733744011,67,270,Partner,1,3,1
Undergraduate,13084.0,29,2,0,7,3,7,1,0,3,6,11.299110198494182,73,29,Partner,0,2,0
Postgraduate,47570.0,3,67,1,20,0,2,2,2,2,7,11.728952772073924,76,121,Alone,2,3,1
Postgraduate,61923.0,94,92,4,18,3,3,2,1,4,3,11.57015742642026,64,126,Partner,2,4,1
Graduate,34824.0,65,4,2,11,2,0,1,0,2,6,10.90485968514716,30,23,Alone,0,1,0
Postgraduate,26518.0,33,20,1,28,3,3,2,0,3,8,11.86858316221766,76,57,Alone,2,3,1
Graduate,45938.0,46,273,11,178,62,83,8,4,6,6,11.29637234770705,64,636,Alone,0,1,0
Graduate,78468.0,29,434,22,388,104,22,10,7,10,4,10.86652977412731,65,1004,Partner,0,2,0
Graduate,78901.0,99,321,11,309,33,26,9,3,5,4,11.42505133470226,52,734,Alone,1,2,1
Graduate,71427.0,26,212,123,177,15,64,8,2,8,4,10.94318959616701,47,614,Partner,2,4,1
Graduate,71022.0,30,909,12,278,0,12,5,2,11,8,11.02258726899384,47,1453,Alone,1,2,1
Postgraduate,90247.0,27,1184,32,352,21,16,3,4,7,1,10.811772758384668,37,1621,Alone,0,1,0
Postgraduate,41335.0,24,112,19,21,16,14,4,1,4,7,11.151266255989048,57,187,Alone,1,2,1
Graduate,71952.0,93,656,80,455,52,107,8,4,8,4,12.109514031485284,39,1443,Partner,1,3,1
Postgraduate,35682.0,34,23,0,8,6,2,1,1,3,2,10.650239561943874,55,57,Alone,1,2,1
Graduate,43185.0,88,537,6,42,16,6,9,3,6,8,11.863107460643397,74,637,Alone,1,2,1
Postgraduate,66375.0,96,712,0,45,0,0,2,4,5,7,11.247091033538672,77,948,Partner,1,3,1
Postgraduate,35178.0,10,23,1,13,2,2,1,1,2,7,12.109514031485284,54,59,Partner,1,3,1
Graduate,25252.0,26,1,3,4,2,2,1,0,2,8,11.60848733744011,39,18,Partner,1,3,1
Postgraduate,55250.0,49,664,58,83,32,0,7,5,10,5,12.331279945242985,60,903,Alone,1,2,1
Graduate,33249.0,11,6,10,21,19,14,2,1,3,6,11.997262149212869,50,112,Alone,1,2,1
Graduate,58398.0,44,299,5,201,21,21,5,4,8,4,11.770020533880905,72,596,Partner,0,2,0
Graduate,50272.0,75,99,13,66,43,8,4,1,5,7,11.537303216974674,43,233,Partner,1,3,1
Postgraduate,76618.0,64,749,40,294,121,160,3,2,5,1,12.202600958247777,50,1511,Partner,0,2,0
Undergraduate,87305.0,19,345,25,501,63,138,5,3,8,2,12.407939767282684,65,1152,Alone,0,1,0
Graduate,25851.0,45,9,4,18,7,5,2,0,3,7,12.021902806297057,47,48,Partner,1,3,1
Graduate,58710.0,77,440,81,368,0,122,11,5,9,6,11.890485968514716,55,1185,Alone,1,2,1
Graduate,45160.0,9,8,2,5,3,0,1,0,2,7,10.896646132785763,67,21,Alone,2,3,1
Postgraduate,74806.0,1,670,9,249,0,28,5,4,5,4,12.16974674880219,60,965,Partner,1,3,1
Graduate,59111.0,90,524,0,134,28,28,11,1,8,7,11.80287474332649,71,869,Partner,0,2,0
Postgraduate,18988.0,43,6,0,6,2,1,1,0,3,7,10.746064339493495,41,16,Partner,1,3,1
Graduate,72190.0,79,597,166,597,172,166,5,6,4,3,12.016427104722792,60,1947,Partner,0,2,0
Graduate,7500.0,19,7,0,12,13,7,4,1,2,9,12.553045859000685,49,71,Partner,1,3,1
Graduate,44794.0,99,54,0,7,0,0,2,0,3,6,10.702258726899384,59,65,Partner,1,3,1
Graduate,80395.0,62,445,25,706,80,76,6,5,12,2,11.241615331964407,70,1380,Partner,0,2,0
Postgraduate,75012.0,41,294,142,218,164,58,3,8,11,1,11.069130732375086,49,1027,Alone,0,1,0
Postgraduate,56962.0,60,292,3,77,10,3,6,3,5,7,11.359342915811087,60,411,Partner,3,5,1
Graduate,89891.0,17,412,22,132,59,28,11,6,8,4,11.849418206707734,34,836,Partner,0,2,0
Postgraduate,35946.0,24,8,0,3,0,0,0,0,3,5,11.397672826830938,76,11,Alone,2,3,1
Postgraduate,53593.0,60,349,4,78,6,0,7,2,6,8,12.536618754277892,72,480,Partner,2,4,1
Graduate,66373.0,57,328,9,124,12,24,4,2,10,3,11.690622861054072,47,606,Partner,2,4,1
Postgraduate,45072.0,74,144,2,99,7,2,6,1,4,8,11.345653661875428,77,284,Alone,3,4,1
Graduate,89694.0,22,1126,28,211,37,28,4,3,4,5,11.364818617385351,52,1472,Alone,2,3,1
Graduate,72025.0,46,967,0,617,43,50,4,8,13,2,10.811772758384668,76,1677,Partner,0,2,0
Graduate,67432.0,69,432,79,341,177,136,8,5,4,4,11.89596167008898,52,1335,Partner,1,3,1
Postgraduate,70545.0,29,138,39,63,55,18,4,1,7,2,10.715947980835043,73,334,Partner,1,3,1
Undergraduate,17487.0,37,0,0,1,7,4,1,0,2,7,11.926078028747432,36,18,Partner,1,3,1
Graduate,62882.0,26,509,133,497,78,24,7,5,6,4,12.531143052703628,56,1338,Partner,1,3,1
Postgraduate,64108.0,8,948,10,86,13,21,6,9,11,5,11.912388774811772,72,1099,Alone,1,2,1
Postgraduate,34941.0,26,39,2,25,4,3,3,0,3,8,11.958932238193018,69,97,Partner,2,4,1
Postgraduate,48767.0,79,28,1,21,3,0,2,1,3,5,11.134839151266256,75,63,Alone,3,4,1
Undergraduate,38702.0,71,13,11,24,13,8,3,0,4,6,11.553730321697468,47,109,Partner,1,3,1
Graduate,82224.0,83,307,26,360,138,31,6,9,5,3,11.069130732375086,61,902,Partner,0,2,0
Graduate,83844.0,57,901,31,345,75,31,4,4,11,1,11.775496235455169,73,1574,Partner,0,2,0
Undergraduate,17003.0,37,2,5,12,4,8,2,0,4,5,11.197809719370294,50,38,Partner,1,3,1
Graduate,71163.0,30,283,17,372,138,106,3,8,12,1,10.951403148528405,30,960,Alone,0,1,0
Graduate,33697.0,34,4,3,7,0,3,1,0,2,7,11.430527036276525,55,28,Alone,1,2,1
Undergraduate,63564.0,0,769,80,252,15,34,10,10,7,6,11.058179329226558,71,1215,Partner,0,2,0
Postgraduate,83443.0,89,518,42,742,55,56,6,10,5,2,11.137577002053389,53,1497,Partner,0,2,0
Postgraduate,51518.0,92,350,8,66,17,4,3,2,10,3,11.381245722108146,67,449,Partner,1,3,1
Graduate,58330.0,87,445,53,213,104,98,6,4,13,4,11.15400410677618,50,1064,Alone,1,2,1
Graduate,80952.0,20,778,178,689,41,27,8,5,11,8,11.97535934291581,56,1757,Partner,0,2,0
Graduate,75507.0,56,709,93,374,104,80,8,6,6,3,10.803559206023271,46,1440,Partner,0,2,0
Undergraduate,63855.0,28,359,35,314,93,116,7,3,13,4,12.02737850787132,47,1006,Partner,0,2,0
Postgraduate,62220.0,55,799,12,375,16,12,7,6,5,6,12.525667351129364,53,1226,Partner,1,3,1
Graduate,58512.0,25,895,10,101,13,0,3,4,8,8,11.419575633127996,61,1171,Partner,1,3,1
Postgraduate,40662.0,0,40,2,23,0,4,2,1,3,4,11.93429158110883,46,92,Partner,1,3,1
Postgraduate,38829.0,86,76,0,7,0,0,3,2,2,5,10.874743326488709,66,99,Partner,1,3,1
Undergraduate,35523.0,8,11,5,22,12,5,3,0,3,7,11.381245722108146,44,66,Partner,1,3,1
Graduate,79146.0,33,245,16,223,21,43,8,1,8,6,10.825462012320328,58,564,Alone,2,3,1
Postgraduate,78285.0,13,647,107,391,175,67,6,4,10,3,11.312799452429845,37,1427,Partner,0,2,0
Postgraduate,31626.0,12,39,1,9,2,1,2,1,2,7,11.780971937029433,47,86,Alone,1,2,1
Graduate,75127.0,92,203,35,305,46,17,2,11,5,1,10.74880219028063,73,833,Alone,0,1,0
Graduate,48726.0,90,138,3,38,4,0,3,2,4,6,11.816563997262149,70,242,Partner,1,3,1
Graduate,74985.0,8,587,51,898,247,0,3,6,7,2,12.44079397672827,48,1869,Partner,0,2,0
Graduate,67430.0,6,595,97,291,127,133,11,5,12,6,12.457221081451062,38,1364,Partner,0,2,0
Undergraduate,46891.0,91,43,12,23,29,15,2,1,4,4,11.468856947296372,60,183,Partner,1,3,1
Postgraduate,62058.0,52,301,7,74,10,0,6,1,7,6,11.737166324435318,69,450,Partner,1,3,1
Graduate,72063.0,3,180,32,348,76,32,5,2,12,2,11.633127994524298,46,758,Partner,1,3,1
Postgraduate,78939.0,57,794,115,243,150,0,8,5,6,3,11.189596167008895,74,1507,Partner,0,2,0
Graduate,42720.0,9,392,5,91,28,26,7,3,7,8,11.824777549623546,60,654,Alone,2,3,1
Graduate,33622.0,22,39,1,22,3,4,2,0,4,7,11.854893908282,53,81,Partner,2,4,1
Postgraduate,6835.0,76,107,2,12,2,2,0,0,1,20,12.199863107460644,68,137,Partner,1,3,1
Graduate,41452.0,86,13,0,3,0,0,1,0,2,7,11.958932238193018,72,16,Partner,2,4,1
Postgraduate,40760.0,64,70,0,17,0,0,2,1,3,6,11.474332648870636,60,93,Alone,1,2,1
Postgraduate,74250.0,90,680,11,392,75,0,2,11,4,1,11.066392881587952,67,1158,Partner,0,2,0
Postgraduate,51124.0,79,26,1,11,0,1,1,0,3,3,11.173169062286105,70,43,Alone,2,3,1
Graduate,72258.0,28,522,0,522,227,120,6,9,5,2,11.43874058863792,54,1525,Alone,1,2,1
Postgraduate,71466.0,86,412,12,546,78,182,4,4,10,1,10.877481177275838,51,1230,Alone,0,1,0
Graduate,36283.0,42,6,5,5,8,0,1,0,3,4,10.85284052019165,49,29,Partner,2,4,1
Graduate,20587.0,39,2,3,6,4,1,1,1,2,7,10.778918548939084,55,25,Alone,1,2,1
Graduate,30467.0,8,1,3,8,2,5,1,0,2,7,10.924024640657084,53,24,Partner,1,3,1
Graduate,31590.0,40,6,2,15,6,6,1,0,3,8,11.67419575633128,53,38,Partner,1,3,1
Undergraduate,20425.0,5,4,12,5,3,16,2,0,3,7,12.309377138945928,39,57,Partner,1,3,1
Postgraduate,17144.0,96,18,2,19,0,2,3,0,4,7,11.011635865845312,65,47,Partner,2,4,1
Postgraduate,42564.0,28,324,48,186,39,18,6,8,4,7,12.13141683778234,57,813,Alone,1,2,1
Postgraduate,43783.0,22,327,9,125,25,4,7,1,8,7,10.729637234770705,47,629,Partner,1,3,1
Graduate,40780.0,30,229,27,71,13,3,7,1,5,9,12.449007529089664,49,377,Alone,1,2,1
Postgraduate,62847.0,45,521,168,706,80,76,3,6,4,2,12.095824777549623,80,1612,Partner,0,2,0
Postgraduate,82017.0,58,184,23,446,30,23,5,4,7,2,12.28473648186174,68,729,Partner,0,2,0
Graduate,16813.0,49,4,8,11,12,2,2,0,3,7,11.589322381930184,75,50,Alone,0,1,0
Graduate,51267.0,37,183,2,64,7,2,3,3,5,4,11.31006160164271,47,270,Partner,2,4,1
Graduate,46524.0,70,31,19,35,26,14,1,1,5,3,11.876796714579056,64,177,Alone,1,2,1
Postgraduate,45183.0,33,219,3,60,12,9,4,1,7,7,12.082135523613964,63,315,Alone,0,1,0
Postgraduate,70421.0,98,479,28,136,75,14,10,3,7,6,10.647501711156742,71,767,Partner,1,3,1
Undergraduate,60161.0,17,584,44,212,46,8,11,4,8,8,12.32580424366872,60,1071,Alone,1,2,1
Graduate,73926.0,54,627,91,597,159,91,6,5,12,3,11.969883641341546,52,1580,Partner,0,2,0
Graduate,19329.0,39,24,1,16,12,2,4,0,3,8,11.184120465434631,57,60,Partner,1,3,1
Postgraduate,61872.0,81,330,5,159,36,27,4,4,9,4,11.186858316221766,55,573,Partner,1,3,1
Graduate,46984.0,71,19,1,10,2,1,1,0,3,5,11.904175222450377,69,41,Alone,2,3,1
Graduate,34838.0,62,28,23,29,29,14,2,1,4,6,12.084873374401097,74,170,Partner,2,4,1
Postgraduate,82716.0,8,606,148,228,15,148,6,8,13,2,11.290896646132786,81,1167,Alone,0,1,0
Graduate,48192.0,76,1039,43,204,153,58,2,8,12,8,11.874058863791925,67,1526,Partner,0,2,0
Postgraduate,49681.0,66,411,0,26,0,0,7,1,7,7,11.293634496919918,49,458,Partner,2,4,1
Postgraduate,56850.0,83,34,1,19,2,7,1,1,3,2,10.913073237508556,54,63,Partner,1,3,1
Graduate,55267.0,28,161,28,136,32,3,3,4,6,3,11.331964407939768,68,405,Partner,1,3,1
Graduate,59666.0,87,623,53,178,23,17,3,2,8,8,11.915126625598903,53,1027,Partner,2,4,1
Graduate,72504.0,43,604,26,470,123,161,5,9,6,2,11.874058863791925,53,1478,Alone,1,2,1
Graduate,26872.0,0,3,10,8,3,16,1,1,2,6,11.345653661875428,44,72,Partner,0,2,0
Graduate,21359.0,1,12,2,17,6,1,2,0,3,8,11.835728952772074,53,48,Alone,1,2,1
Graduate,73170.0,1,184,174,256,50,30,5,4,6,2,10.72416153319644,50,726,Alone,0,1,0
